session_date,final_bias,prob_trend_fused,pred_regime,actual_regime,regime_hit,pred_dir,actual_dir,dir_hit,execution_score
2025-08-22,RANGE_FADE,0.3330640945517525,range,trend,0.0,0,1,,9.959614182762875
2025-08-25,WHIP_WAIT,0.40376447636221463,neutral,range,,0,-1,,20.564671454332192
2025-08-26,RANGE_FADE,0.3716638787718708,range,trend,0.0,0,1,,15.749581815780617
2025-08-27,WHIP_WAIT,0.4299070088369655,neutral,range,,0,1,,24.48605132554482
2025-08-28,RANGE_FADE,0.2793816330148079,range,range,1.0,0,1,,1.9072449522211876
2025-08-29,RANGE_FADE,0.1528688678485757,range,range,1.0,0,-1,,0.0
2025-09-02,RANGE_FADE,0.14906280389518603,range,range,1.0,0,-1,,0.0
2025-09-03,RANGE_FADE,0.22129249154564526,range,range,1.0,0,1,,0.0
2025-09-04,RANGE_FADE,0.3446672899274626,range,trend,0.0,0,1,,11.700093489119388
2025-09-05,RANGE_FADE,0.21876831825860252,range,range,1.0,0,-1,,0.0
2025-09-08,RANGE_FADE,0.3976308207518371,range,range,1.0,0,1,,19.644623112775562
2025-09-09,RANGE_FADE,0.1885416280218957,range,range,1.0,0,1,,0.0
2025-09-10,RANGE_FADE,0.15144678045490398,range,range,1.0,0,1,,0.0
2025-09-11,BALANCED_SMALL,0.458129538623637,neutral,trend,,0,1,,28.71943079354555
2025-09-12,RANGE_FADE,0.1457610452693137,range,range,1.0,0,-1,,0.0
2025-09-15,RANGE_FADE,0.38588209758175873,range,trend,0.0,0,1,,17.88231463726381
2025-09-16,RANGE_FADE,0.12720757125014454,range,range,1.0,0,-1,,0.0
2025-09-17,RANGE_FADE,0.2015421293513654,range,range,1.0,0,-1,,0.0
2025-09-18,BALANCED_SMALL,0.4514727317229823,neutral,range,,0,1,,27.720909758447345
2025-09-19,RANGE_FADE,0.14448169393371732,range,range,1.0,0,1,,0.0
2025-09-22,BALANCED_SMALL,0.4812112356954771,neutral,trend,,0,1,,32.18168535432156
2025-09-23,RANGE_FADE,0.291697523777892,range,range,1.0,0,-1,,3.754628566683799
2025-09-24,RANGE_FADE,0.15492941507009678,range,range,1.0,0,-1,,0.0
2025-09-25,BALANCED_SMALL,0.4518825360759801,neutral,range,,0,-1,,27.782380411397018
2025-09-26,RANGE_FADE,0.2138877249043686,range,range,1.0,0,1,,0.0
2025-09-29,RANGE_FADE,0.2377992329436408,range,range,1.0,0,1,,0.0
2025-09-30,RANGE_FADE,0.19869630858284035,range,trend,0.0,0,1,,0.0
2025-10-01,WHIP_WAIT,0.44010663925141397,neutral,trend,,0,1,,26.015995887712094
2025-10-02,RANGE_FADE,0.2136637017694705,range,range,1.0,0,1,,0.0
2025-10-03,RANGE_FADE,0.37787200757772466,range,range,1.0,0,-1,,16.680801136658697
2025-10-06,RANGE_FADE,0.19897676631348796,range,range,1.0,0,1,,0.0
2025-10-07,RANGE_FADE,0.2289714668645615,range,range,1.0,0,-1,,0.0
2025-10-08,WHIP_WAIT,0.4451311616536704,neutral,trend,,0,1,,26.76967424805056
2025-10-09,RANGE_FADE,0.16222364827802815,range,range,1.0,0,-1,,0.0
2025-10-10,EXPANSION_FOLLOW_SHORT,0.7885956714766378,trend,trend,1.0,-1,-1,1.0,55.20169700336464
