event_type,gap_direction,fill_path_type,vol_state,open_regime_label,n,fill_rate,direct_fill_rate,failed_fill_rate,avg_time_to_fill_minutes,median_time_to_fill_minutes,avg_MAE_pct,median_MAE_pct,avg_MFE_pct,median_MFE_pct,payoff_ratio,expectancy,sortino_ratio,max_drawdown,stop_out_rate_proxy,sample_quality,tradability_score,build_ts
UNCLASSIFIED,UP,SQUEEZE_THEN_FILL,UNKNOWN,NO_SETUP,1,1.0,0.0,0.0,90.0,90.0,0.0006325845862171402,0.0006325845862171402,0.0035025634797972234,0.0035025634797972234,,5.536909302110213,,0.0,0.0,LOW_SAMPLE,246.47004623854636,2026-05-31T12:26:15.458599+00:00
CLEAN_BREAKDOWN,UP,DIRECT_FILL,mid,NO_SETUP,6,1.0,1.0,0.0,37.50000022351742,22.500000335276127,0.0015287451251791262,0.0018407550170744427,0.012290851860850464,0.011086575449893485,,5.366253200650544,,0.0,0.0,BOOTSTRAP_OK,239.63484057476995,2026-05-31T12:26:15.458599+00:00
FAILED_BREAKDOWN,UP,SQUEEZE_THEN_FILL,mid,NO_SETUP,7,1.0,0.0,0.0,102.85714285714286,90.0,0.006781382656538266,0.0028843131191772023,0.010910755781992755,0.012413957976407146,,5.236767687185584,,0.0,0.2857142857142857,BOOTSTRAP_OK,234.40289366085798,2026-05-31T12:26:15.458599+00:00
UNCLASSIFIED,DOWN,SQUEEZE_THEN_FILL,UNKNOWN,NO_SETUP,1,1.0,0.0,0.0,105.00000044703484,105.00000044703484,0.0013328890369876708,0.0013328890369876708,0.006517827390869692,0.006517827390869692,,4.889999999999986,,0.0,0.0,LOW_SAMPLE,220.58667110962958,2026-05-31T12:26:15.458599+00:00
CLEAN_BREAKDOWN,DOWN,SQUEEZE_THEN_FILL,high,ACCEPTED_BREAKDOWN_OPEN_2BAR,1,1.0,0.0,0.0,120.00000022351742,120.00000022351742,0.015045283846101955,0.015045283846101955,0.06919601257110353,0.06919601257110353,,4.5991829252880025,,0.0,0.0,LOW_SAMPLE,208.8168641730591,2026-05-31T12:26:15.458599+00:00
UNCLASSIFIED,DOWN,SQUEEZE_THEN_FILL,high,UNRESOLVED_OPEN,1,1.0,0.0,0.0,90.0,90.0,0.005621325998985083,0.005621325998985083,0.02564002597270431,0.02564002597270431,,4.561206017465195,,0.0,0.15384615384615385,LOW_SAMPLE,207.39202743861796,2026-05-31T12:26:15.458599+00:00
UNCLASSIFIED,DOWN,PARTIAL_FILL_REJECT,high,NO_SETUP,3,0.0,0.0,1.0,,,0.0017745874916261118,0.0017027094586278715,0.008960420511535496,0.009660723379234046,,5.078347203716658,,0.0,0.0,BOOTSTRAP_OK,203.11614227375003,2026-05-31T12:26:15.458599+00:00
CLEAN_BREAKOUT,DOWN,SQUEEZE_THEN_FILL,UNKNOWN,NO_SETUP,3,1.0,0.0,0.0,315.0,315.0,0.0019495486568282424,0.0019495486568282424,0.008393784832403741,0.008393784832403741,,4.305501585202674,,0.0,0.0,BOOTSTRAP_OK,197.2005679215387,2026-05-31T12:26:15.458599+00:00
FAILED_BREAKOUT,UP,SQUEEZE_THEN_FILL,mid,NO_SETUP,4,1.0,0.0,0.0,232.50000022351742,232.50000022351742,0.004438259647721443,0.004546757243344685,0.014434036690387852,0.011159220906618493,,4.251760545009316,,0.0,0.23290598290598288,BOOTSTRAP_OK,195.0260392038954,2026-05-31T12:26:15.458599+00:00
UNCLASSIFIED,UP,DIRECT_FILL,mid,UNRESOLVED_OPEN,1,1.0,1.0,0.0,30.000000223517418,30.000000223517418,0.0020950527477286963,0.0020950527477286963,0.008664175475142108,0.008664175475142108,,4.135540493925595,,0.0,0.0,LOW_SAMPLE,190.40066922954654,2026-05-31T12:26:15.458599+00:00
FAILED_BREAKDOWN,UP,SQUEEZE_THEN_FILL,low,NO_SETUP,2,1.0,0.0,0.0,82.49999977648258,82.49999977648258,0.0024367561470577856,0.0024367561470577856,0.007926223900276867,0.007926223900276867,,3.919341513719542,,0.0,0.018518518518518517,LOW_SAMPLE,181.74929298731112,2026-05-31T12:26:15.458599+00:00
UNCLASSIFIED,DOWN,SQUEEZE_THEN_FILL,mid,ACCEPTED_BREAKDOWN_OPEN_2BAR,3,1.0,0.0,0.0,250.0000000745058,165.00000022351742,0.002331042341716234,0.0021494922748809177,0.008868532623689314,0.008766800668751545,,3.841464548363922,,0.0,0.0,BOOTSTRAP_OK,178.6352715111397,2026-05-31T12:26:15.458599+00:00
UNCLASSIFIED,DOWN,PARTIAL_FILL_REJECT,mid,ACCEPTED_BREAKDOWN_OPEN_2BAR,2,0.5,0.0,1.0,14.999999776482582,14.999999776482582,0.005915472862631883,0.005915472862631883,0.005412646274766327,0.005412646274766327,,4.067615368280015,,0.0,0.3333333333333333,LOW_SAMPLE,175.1454600025743,2026-05-31T12:26:15.458599+00:00
RANGE_COMPRESSION,DOWN,SQUEEZE_THEN_FILL,low,NO_SETUP,1,1.0,0.0,0.0,135.0,135.0,0.001297919025528977,0.001297919025528977,0.003974973565229083,0.003974973565229083,,3.062574387958487,,0.0,0.0,LOW_SAMPLE,147.48999632808417,2026-05-31T12:26:15.458599+00:00
RANGE_COMPRESSION,DOWN,SQUEEZE_THEN_FILL,mid,NO_SETUP,1,1.0,0.0,0.0,120.00000022351742,120.00000022351742,0.001409611828305164,0.001409611828305164,0.004076110566625188,0.004076110566625188,,2.891654627732563,,0.0,0.0,LOW_SAMPLE,140.6520889910195,2026-05-31T12:26:15.458599+00:00
CLEAN_BREAKOUT,DOWN,SQUEEZE_THEN_FILL,low,NO_SETUP,1,1.0,0.0,0.0,240.00000044703484,240.00000044703484,0.0019685226044969155,0.0019685226044969155,0.005611463299772694,0.005611463299772694,,2.850596323838905,,0.0,0.0,LOW_SAMPLE,139.00416772751123,2026-05-31T12:26:15.458599+00:00
UNCLASSIFIED,DOWN,SQUEEZE_THEN_FILL,mid,NO_SETUP,15,1.0,0.0,0.0,124.00000011920929,120.00000022351742,0.005290110235936801,0.004293765609571754,0.005489442466853479,0.005146837828149789,,2.672543109925772,,0.0,0.2815764482431149,BOOTSTRAP_OK,131.84882329467152,2026-05-31T12:26:15.458599+00:00
UNCLASSIFIED,DOWN,SQUEEZE_THEN_FILL,high,NO_SETUP,13,0.9230769230769231,0.0,0.0,103.74999985098839,37.50000011175871,0.007925104244857224,0.006173164830905775,0.007461116841208765,0.007920928185412023,,2.4870870591310275,,0.0,0.3182117028270875,BOOTSTRAP_OK,122.4811543997156,2026-05-31T12:26:15.458599+00:00
RANGE_COMPRESSION,UP,DIRECT_FILL,low,NO_SETUP,1,1.0,1.0,0.0,59.99999977648258,59.99999977648258,0.0012070885065300668,0.0012070885065300668,0.002832502864875465,0.002832502864875465,,2.346557729240471,,0.0,0.0,LOW_SAMPLE,118.85023828455354,2026-05-31T12:26:15.458599+00:00
FAILED_BREAKDOWN,DOWN,SQUEEZE_THEN_FILL,mid,NO_SETUP,3,1.0,0.0,0.0,365.0000001490116,435.0000002235174,0.007307997243394971,0.005980161925158291,0.012961663774632403,0.013116875867749704,,2.0481988039302323,,0.0,0.2962962962962963,BOOTSTRAP_OK,106.85487218477535,2026-05-31T12:26:15.458599+00:00
RANGE_COMPRESSION,UP,DIRECT_FILL,high,NO_SETUP,1,1.0,1.0,0.0,90.0,90.0,0.0019649247991756886,0.0019649247991756886,0.0038532817883350353,0.0038532817883350353,,1.9610327020919767,,0.0,0.0,LOW_SAMPLE,103.42165883568731,2026-05-31T12:26:15.458599+00:00
RANGE_COMPRESSION,UP,SQUEEZE_THEN_FILL,high,NO_SETUP,3,1.0,0.0,0.0,64.9999999254942,45.0,0.004965320356197869,0.006522536367248377,0.006185084888772723,0.006372653214969422,,1.8497408605971337,,0.0,0.27730294396961064,BOOTSTRAP_OK,98.93998122032338,2026-05-31T12:26:15.458599+00:00
CLEAN_BREAKDOWN,DOWN,PARTIAL_FILL_REJECT,mid,NO_SETUP,11,0.09090909090909091,0.0,1.0,45.0,45.0,0.008644934685044346,0.010071980244236016,0.004776950948064986,0.004470660811372055,,2.3997220970680058,,0.0,0.4777259777259777,BOOTSTRAP_OK,98.17516180859705,2026-05-31T12:26:15.458599+00:00
