date,symbol,ovl_vix,ovl_vix3m,ovl_vix_term,ovl_rates10y,ovl_darkpool,ovl_tariff,ovl_vix_contango,dp_shares_z_26w,dp_trades_vs_13w,dp_shares_vs_13w,dp_avg_trade_size
2024-08-09,SPY,0.5836109314079327,0.6716050677890081,0.30256803414487815,0.027224051382380782,0.0,,0.08799413638107534,0.4803766793059156,1.4950357747407292,1.2292448792495014,222.31678474664108
2024-08-12,SPY,0.6475887953429184,0.7845046334652302,0.23713781471920484,0.0,0.0,,0.1369158381223119,-0.6111911313323715,0.9768486063440958,0.9125684735269278,254.3102407528174
2024-08-13,SPY,0.0717587041797918,0.2845129180540904,0.0,0.0,0.0,,0.2127542138742986,-0.6111911313323715,0.9768486063440958,0.9125684735269278,254.3102407528174
2024-08-14,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.6111911313323715,0.9768486063440958,0.9125684735269278,254.3102407528174
2024-08-15,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.6111911313323715,0.9768486063440958,0.9125684735269278,254.3102407528174
2024-08-16,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.6111911313323715,0.9768486063440958,0.9125684735269278,254.3102407528174
2024-08-19,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.9057193354675237,0.89731305876753,0.8287878578244768,250.58526845401448
2024-08-20,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.9057193354675237,0.89731305876753,0.8287878578244768,250.58526845401448
2024-08-21,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.9057193354675237,0.89731305876753,0.8287878578244768,250.58526845401448
2024-08-22,SPY,0.0,0.1316939828930804,0.0,0.0,0.0,,0.1316939828930804,-0.9057193354675237,0.89731305876753,0.8287878578244768,250.58526845401448
2024-08-23,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.9057193354675237,0.89731305876753,0.8287878578244768,250.58526845401448
2024-08-26,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.9587042291295215,0.8858605572054872,0.8066441496867853,243.34122174521477
2024-08-27,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.9587042291295215,0.8858605572054872,0.8066441496867853,243.34122174521477
2024-08-28,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.9587042291295215,0.8858605572054872,0.8066441496867853,243.34122174521477
2024-08-29,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.9587042291295215,0.8858605572054872,0.8066441496867853,243.34122174521477
2024-08-30,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.9587042291295215,0.8858605572054872,0.8066441496867853,243.34122174521477
2024-09-03,SPY,0.6144713854244642,0.7428040638399622,0.1917400858301123,0.0,0.0,,0.128332678415498,-1.1400253347856546,1.0170352309020527,0.7309660676202565,190.13188950253684
2024-09-04,SPY,0.7275028144403635,0.8227853709167148,0.3374802301364153,0.0,0.0,,0.09528255647635131,-1.1400253347856546,1.0170352309020527,0.7309660676202565,190.13188950253684
2024-09-05,SPY,0.4078849798263337,0.5003189121420043,0.1205982854003591,0.0,0.0,,0.0924339323156706,-1.1400253347856546,1.0170352309020527,0.7309660676202565,190.13188950253684
2024-09-06,SPY,0.9198204952917507,0.9626352701278661,0.5681505262049292,0.0,0.0,,0.0428147748361154,-1.1400253347856546,1.0170352309020527,0.7309660676202565,190.13188950253684
2024-09-09,SPY,0.28392167155015385,0.4546165393458505,0.0,0.0,0.0,,0.17069486779569665,0.06426378921097968,1.1176660546687405,1.0368558315196472,245.5941879068741
2024-09-10,SPY,0.19798797014957673,0.35755242045550206,0.0,0.0,0.0,,0.15956445030592534,0.06426378921097968,1.1176660546687405,1.0368558315196472,245.5941879068741
2024-09-11,SPY,0.0,0.0988798919218928,0.0,0.0,0.0,,0.0988798919218928,0.06426378921097968,1.1176660546687405,1.0368558315196472,245.5941879068741
2024-09-12,SPY,0.0,0.06735543308365492,0.0,0.0,0.0,,0.06735543308365492,0.06426378921097968,1.1176660546687405,1.0368558315196472,245.5941879068741
2024-09-13,SPY,0.0,0.012480240609508808,0.0,0.0,0.0,,0.012480240609508808,0.06426378921097968,1.1176660546687405,1.0368558315196472,245.5941879068741
2024-09-16,SPY,0.0,0.14789087334888076,0.0,0.0,0.0,,0.14789087334888076,0.7483958461060299,1.1063442114724216,1.2182292414668567,279.80268890541385
2024-09-17,SPY,0.0,0.23061933282404423,0.0,0.0,0.0,,0.23061933282404423,0.7483958461060299,1.1063442114724216,1.2182292414668567,279.80268890541385
2024-09-18,SPY,0.017614978347165522,0.2847633621366388,0.0,0.0,0.0,,0.26714838378947325,0.7483958461060299,1.1063442114724216,1.2182292414668567,279.80268890541385
2024-09-19,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,0.7483958461060299,1.1063442114724216,1.2182292414668567,279.80268890541385
2024-09-20,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,0.7483958461060299,1.1063442114724216,1.2182292414668567,279.80268890541385
2024-09-23,SPY,0.0,0.0,0.0,0.009234585823715946,0.0,,0.0,-0.16806774527272023,0.9041611675052685,0.9907913679829036,277.6708374676959
2024-09-24,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.16806774527272023,0.9041611675052685,0.9907913679829036,277.6708374676959
2024-09-25,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.16806774527272023,0.9041611675052685,0.9907913679829036,277.6708374676959
2024-09-26,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-0.16806774527272023,0.9041611675052685,0.9907913679829036,277.6708374676959
2024-09-27,SPY,0.0,0.07761301010136856,0.0,0.0,0.0,,0.07761301010136856,-0.16806774527272023,0.9041611675052685,0.9907913679829036,277.6708374676959
2024-09-30,SPY,0.0,0.0,0.0,0.0,0.0,,0.0,-1.2515998571131786,0.9943632537738986,0.7404580631866663,182.93277260885745
2024-10-01,SPY,0.25910955919499684,0.4227742767722587,0.0,0.0,0.0,,0.16366471757726186,-1.2515998571131786,0.9943632537738986,0.7404580631866663,182.93277260885745
2024-10-02,SPY,0.17671263898979608,0.3371306342581626,0.0,0.0,0.0,,0.1604179952683665,-1.2515998571131786,0.9943632537738986,0.7404580631866663,182.93277260885745
2024-10-03,SPY,0.5081593928023845,0.5951865437877307,0.13204840637369855,0.0,0.0,,0.08702715098534619,-1.2515998571131786,0.9943632537738986,0.7404580631866663,182.93277260885745
2024-10-04,SPY,0.23519327599784745,0.3420643536266617,0.0,0.5583555525841764,0.0,,0.10687107762881426,-1.2515998571131786,0.9943632537738986,0.7404580631866663,182.93277260885745
2024-10-07,SPY,0.9453794142174635,0.8253534185244179,0.8816108491094446,0.4961890631508852,0.0,,-0.12002599569304562,-0.3813087510968319,0.8940409019449889,0.9119043167988669,251.6807217630854
2024-10-08,SPY,0.675958475121055,0.543664097711981,0.7710370087644716,0.8778269018598586,0.0,,-0.13229437740907402,-0.3813087510968319,0.8940409019449889,0.9119043167988669,251.6807217630854
2024-10-09,SPY,0.5531319832662368,0.38693693196612794,0.7877093481389018,0.7375978984629713,0.0,,-0.16619505130010886,-0.3813087510968319,0.8940409019449889,0.9119043167988669,251.6807217630854
2024-10-10,SPY,0.5695623641718462,0.4196519006022837,0.7536201265656098,0.5936645251204693,0.0,,-0.14991046356956256,-0.3813087510968319,0.8940409019449889,0.9119043167988669,251.6807217630854
2024-10-11,SPY,0.4755926133122396,0.3624482427279938,0.6049263044580843,0.0,0.0,,-0.11314437058424581,-0.3813087510968319,0.8940409019449889,0.9119043167988669,251.6807217630854
2024-10-14,SPY,0.3178446033448655,0.19956034366913342,0.519439195429238,0.0,0.0,,-0.11828425967573206,-0.029111601162432034,0.9243229066200874,0.9907701011968616,261.30651854552474
2024-10-15,SPY,0.5104109946412881,0.3723536880282284,0.6859067179587518,0.0,0.0,,-0.13805730661305976,-0.029111601162432034,0.9243229066200874,0.9907701011968616,261.30651854552474
2024-10-16,SPY,0.2898213724299903,0.25242267473971464,0.2977087084020063,0.0,0.0,,-0.03739869769027565,-0.029111601162432034,0.9243229066200874,0.9907701011968616,261.30651854552474
