date,symbol,deployment_state,deployment_confidence,position_size_multiplier,capital_risk_pct,confidence_score,path_quality_score,risk_quality_score,expectancy,payoff_ratio,mae_pct,fill_rate,failed_fill_rate,squeeze_risk,vol_state,macro_state,dp_state,open_regime_label,dealer_state_hint,no_trade_score,confidence_of_inaction,deployment_denied_reason,tradability_score,sample_bucket,sample_n,decision_ts
2026-02-19,SPY,PROBE,1.0,0.5,0.05,25.0,1.0,0.7329485455944778,2.082302294785141,,0.0022735272540696516,1.0,0.0,0.0,mid,low,low,NO_SETUP,NEUTRAL,0.057310380363323116,0.057310380363323116,LOW_SAMPLE,0.8089653987889229,MICRO_SAMPLE,2,2026-06-10T17:31:08.359427+00:00
2026-02-20,SPY,PROBE,1.0,0.5,0.05,25.0,1.0,0.7329485455944778,2.082302294785141,,0.0022735272540696516,1.0,0.0,0.0,mid,low,low,NO_SETUP,DEFENSIVE,0.057310380363323116,0.057310380363323116,LOW_SAMPLE,0.8089653987889229,MICRO_SAMPLE,2,2026-06-10T17:31:08.359427+00:00
2026-02-20,SPY,PROBE,1.0,0.5,0.05,25.0,1.0,0.7329485455944778,2.082302294785141,,0.0022735272540696516,1.0,0.0,0.0,mid,low,low,NO_SETUP,DEFENSIVE,0.057310380363323116,0.057310380363323116,LOW_SAMPLE,0.8089653987889229,MICRO_SAMPLE,2,2026-06-10T17:31:08.359427+00:00
2026-02-20,SPY,PROBE,1.0,0.5,0.05,25.0,1.0,0.7329485455944778,2.082302294785141,,0.0022735272540696516,1.0,0.0,0.0,mid,low,low,NO_SETUP,DEFENSIVE,0.057310380363323116,0.057310380363323116,LOW_SAMPLE,0.8089653987889229,MICRO_SAMPLE,2,2026-06-10T17:31:08.359427+00:00
2026-02-20,SPY,PROBE,1.0,0.5,0.05,25.0,1.0,0.7329485455944778,2.082302294785141,,0.0022735272540696516,1.0,0.0,0.0,mid,low,low,NO_SETUP,DEFENSIVE,0.057310380363323116,0.057310380363323116,LOW_SAMPLE,0.8089653987889229,MICRO_SAMPLE,2,2026-06-10T17:31:08.359427+00:00
2026-02-20,SPY,PROBE,1.0,0.5,0.05,25.0,1.0,0.7329485455944778,2.082302294785141,,0.0022735272540696516,1.0,0.0,0.0,mid,low,low,NO_SETUP,DEFENSIVE,0.057310380363323116,0.057310380363323116,LOW_SAMPLE,0.8089653987889229,MICRO_SAMPLE,2,2026-06-10T17:31:08.359427+00:00
2026-02-23,SPY,PROBE,1.0,0.5,0.05,25.0,1.0,0.7329485455944778,2.082302294785141,,0.0022735272540696516,1.0,0.0,0.0,mid,low,low,NO_SETUP,NEUTRAL,0.057310380363323116,0.057310380363323116,LOW_SAMPLE,0.8089653987889229,MICRO_SAMPLE,2,2026-06-10T17:31:08.359427+00:00
2026-02-24,SPY,PROBE,1.0,0.5,0.05,25.0,1.0,0.7329485455944778,2.082302294785141,,0.0022735272540696516,1.0,0.0,0.0,mid,low,low,NO_SETUP,NEUTRAL,0.057310380363323116,0.057310380363323116,LOW_SAMPLE,0.8089653987889229,MICRO_SAMPLE,2,2026-06-10T17:31:08.359427+00:00
2026-02-24,SPY,PROBE,1.0,0.5,0.05,25.0,1.0,0.7329485455944778,2.082302294785141,,0.0022735272540696516,1.0,0.0,0.0,mid,low,low,NO_SETUP,NEUTRAL,0.057310380363323116,0.057310380363323116,LOW_SAMPLE,0.8089653987889229,MICRO_SAMPLE,2,2026-06-10T17:31:08.359427+00:00
2026-02-25,SPY,PROBE,1.0,0.5,0.05,25.0,1.0,0.7329485455944778,2.082302294785141,,0.0022735272540696516,1.0,0.0,0.0,mid,low,low,NO_SETUP,NEUTRAL,0.057310380363323116,0.057310380363323116,LOW_SAMPLE,0.8089653987889229,MICRO_SAMPLE,2,2026-06-10T17:31:08.359427+00:00
2026-02-26,SPY,PROBE,1.0,0.5,0.05,25.0,1.0,0.7329485455944778,2.082302294785141,,0.0022735272540696516,1.0,0.0,0.0,mid,low,low,NO_SETUP,DEFENSIVE,0.057310380363323116,0.057310380363323116,LOW_SAMPLE,0.8089653987889229,MICRO_SAMPLE,2,2026-06-10T17:31:08.359427+00:00
2026-02-27,SPY,PROBE,1.0,0.5,0.05,25.0,1.0,0.7329485455944778,2.082302294785141,,0.0022735272540696516,1.0,0.0,0.0,mid,low,low,NO_SETUP,DEFENSIVE,0.057310380363323116,0.057310380363323116,LOW_SAMPLE,0.8089653987889229,MICRO_SAMPLE,2,2026-06-10T17:31:08.359427+00:00
2026-03-09,SPY,PROBE,1.0,0.5,0.05,25.0,1.0,0.7329485455944778,2.082302294785141,,0.0022735272540696516,1.0,0.0,0.0,mid,low,low,NO_SETUP,NEUTRAL,0.057310380363323116,0.057310380363323116,LOW_SAMPLE,0.8089653987889229,MICRO_SAMPLE,2,2026-06-10T17:31:08.359427+00:00
2026-03-10,SPY,PROBE,1.0,0.5,0.05,25.0,1.0,0.7329485455944778,2.082302294785141,,0.0022735272540696516,1.0,0.0,0.0,mid,low,low,NO_SETUP,DEFENSIVE,0.057310380363323116,0.057310380363323116,LOW_SAMPLE,0.8089653987889229,MICRO_SAMPLE,2,2026-06-10T17:31:08.359427+00:00
2026-03-11,SPY,PROBE,1.0,0.5,0.05,25.0,1.0,0.7329485455944778,2.082302294785141,,0.0022735272540696516,1.0,0.0,0.0,mid,low,low,NO_SETUP,NEUTRAL,0.057310380363323116,0.057310380363323116,LOW_SAMPLE,0.8089653987889229,MICRO_SAMPLE,2,2026-06-10T17:31:08.359427+00:00
2026-03-12,SPY,PROBE,1.0,0.5,0.05,25.0,1.0,0.7329485455944778,2.082302294785141,,0.0022735272540696516,1.0,0.0,0.0,mid,low,low,NO_SETUP,DEFENSIVE,0.057310380363323116,0.057310380363323116,LOW_SAMPLE,0.8089653987889229,MICRO_SAMPLE,2,2026-06-10T17:31:08.359427+00:00
2026-03-13,SPY,PROBE,1.0,0.5,0.05,25.0,1.0,0.7329485455944778,2.082302294785141,,0.0022735272540696516,1.0,0.0,0.0,mid,low,low,NO_SETUP,DEFENSIVE,0.057310380363323116,0.057310380363323116,LOW_SAMPLE,0.8089653987889229,MICRO_SAMPLE,2,2026-06-10T17:31:08.359427+00:00
2026-03-30,SPY,PROBE,1.0,0.5,0.05,25.0,1.0,0.7329485455944778,2.082302294785141,,0.0022735272540696516,1.0,0.0,0.0,mid,low,low,NO_SETUP,DEFENSIVE,0.057310380363323116,0.057310380363323116,LOW_SAMPLE,0.8089653987889229,MICRO_SAMPLE,2,2026-06-10T17:31:08.359427+00:00
2026-04-27,SPY,PROBE,1.0,0.5,0.05,25.0,1.0,0.7329485455944778,2.082302294785141,,0.0022735272540696516,1.0,0.0,0.0,mid,low,low,NO_SETUP,DEFENSIVE,0.057310380363323116,0.057310380363323116,LOW_SAMPLE,0.8089653987889229,MICRO_SAMPLE,2,2026-06-10T17:31:08.359427+00:00
