date,ret_1d_net,equity,trade_gate,pressure_state,regime_label,vol_state,vol_trend_state,dp_state,macro_state,compression_flag_x,transition_label,prob_trend_fused,prob_range_fused,dealer_state_hint,gamma_proxy,wall_strike,dist_to_wall_pct,cluster_score,compression_flag_y,signal_strength,execution_score,final_bias,created_at
2024-04-15,-0.0127281272781027,-0.0127281272781027,0,UNRESOLVED_PRESSURE,unknown_vol|rising_voltrend|low_dp|high_macro|0_comp,unknown,rising,low,,0,unknown->unknown | rising->rising | low->low,,,,,,,0.2,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2025-01-22,0.0054214488302108,0.0842825114450473,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,0.31812608915339935,0.6818739108466007,,,,,0.1,0,,22.268826240737955,WHIP_WAIT,2026-02-07 02:11:41
2025-01-23,0.0052580791921186,0.0895405906371659,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,0.32006343707523843,0.6799365629247616,,,,,0.0,0,,22.404440595266692,WHIP_WAIT,2026-02-07 02:11:41
2025-01-24,-0.0031192772396473,0.0864213133975185,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,0.3115288031291954,0.6884711968708046,,,,,0.0,0,,21.80701621904368,WHIP_WAIT,2026-02-07 02:11:41
2025-01-29,-0.0046829317228528,0.0817383816746656,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,high->mid | falling->falling | low->low,0.2800691558888888,0.7199308441111112,,,,,0.1,0,,19.604840912222215,WHIP_WAIT,2026-02-07 02:11:41
2025-01-30,0.0051671100211916,0.0869054916958572,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,0.28071713702043943,0.7192828629795606,,,,,0.1,0,,19.65019959143076,WHIP_WAIT,2026-02-07 02:11:41
2025-01-31,-0.0055219139562038,0.0813835777396534,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,0.3245253979142363,0.6754746020857637,,,,,0.1,0,,22.71677785399654,WHIP_WAIT,2026-02-07 02:11:41
2025-02-04,0.0065082818385062,0.0878918595781596,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,0.3284306127272211,0.6715693872727788,,,,,0.2,0,,22.990142890905478,WHIP_WAIT,2026-02-07 02:11:41
2025-02-19,0.0021549076262954,0.090046767204455,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,0.31048625381179196,0.689513746188208,,,,,0.0,0,,21.734037766825438,WHIP_WAIT,2026-02-07 02:11:41
2025-02-24,-0.0047504224716481,0.0852963447328069,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,0.27336428959999914,0.7266357104000009,,,,,0.1,0,,19.13550027199994,WHIP_WAIT,2026-02-07 02:11:41
2025-02-26,0.0003048259926943,0.0856011707255012,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,0.32084342126518856,0.6791565787348115,,,,,0.1,0,,22.4590394885632,WHIP_WAIT,2026-02-07 02:11:41
2025-03-04,-0.012036911709231,0.0735642590162701,0,NORMAL,high_vol|rising_voltrend|normal_dp|high_macro|0_comp,high,rising,normal,,0,mid->high | rising->rising | normal->normal,0.2790806858543934,0.7209193141456066,,,,,0.5,0,,19.535648009807538,WHIP_WAIT,2026-02-07 02:11:41
